file_role,path,filename,detected_product,included,reason
baseline_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline\baseline_1.txt,baseline_1.txt,,True,baseline answer file
baseline_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline\baseline_11.txt,baseline_11.txt,,True,baseline answer file
baseline_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline\baseline_16.txt,baseline_16.txt,,True,baseline answer file
baseline_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline\baseline_6.txt,baseline_6.txt,,True,baseline answer file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,beis_2023vs2026_1.txt,BEIS,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,beis_2023vs2026_11.txt,BEIS,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_16.txt,beis_2023vs2026_16.txt,BEIS,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_6.txt,beis_2023vs2026_6.txt,BEIS,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\delsey_2023vs2026_1.txt,delsey_2023vs2026_1.txt,Delsey,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\delsey_2023vs2026_11.txt,delsey_2023vs2026_11.txt,Delsey,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\delsey_2023vs2026_6.txt,delsey_2023vs2026_6.txt,Delsey,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\desley_2023vs2026_16.txt,desley_2023vs2026_16.txt,Delsey,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\inusa_2023vs2026_1.txt,inusa_2023vs2026_1.txt,INUSA,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\inusa_2023vs2026_11.txt,inusa_2023vs2026_11.txt,INUSA,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\inusa_2023vs2026_16.txt,inusa_2023vs2026_16.txt,INUSA,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\inusea_2023vs2026_6.txt,inusea_2023vs2026_6.txt,INUSA,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\monos_2023vs2026_1.txt,monos_2023vs2026_1.txt,Monos,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\monos_2023vs2026_11.txt,monos_2023vs2026_11.txt,Monos,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\monos_2023vs2026_16.txt,monos_2023vs2026_16.txt,Monos,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\monos_2023vs2026_6.txt,monos_2023vs2026_6.txt,Monos,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\travel_2023vs2026_1.txt,travel_2023vs2026_1.txt,Travelpro,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\travel_2023vs2026_11.txt.txt,travel_2023vs2026_11.txt.txt,Travelpro,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\travel_2023vs2026_16.txt,travel_2023vs2026_16.txt,Travelpro,True,current replacement file
comparison01_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\travel_2023vs2026_6.txt,travel_2023vs2026_6.txt,Travelpro,True,current replacement file
