version_status,product,path,loaded,characters
original_2023_2024,Away,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\filtered\old\away.txt,True,4184
original_2023_2024,BR,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\filtered\old\br.txt,True,4440
original_2023_2024,Century,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\filtered\old\century.txt,True,1472
original_2023_2024,July,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\filtered\old\july.txt,True,3403
original_2023_2024,Rimowa,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\filtered\old\rimowa.txt,True,1686
geo_rewrite_2023_2024,Away,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\geo_rewrites\away.txt,True,4286
geo_rewrite_2023_2024,BR,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\geo_rewrites\br.txt,True,4499
geo_rewrite_2023_2024,Century,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\geo_rewrites\century.txt,True,1604
geo_rewrite_2023_2024,July,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\geo_rewrites\july.txt,True,3285
geo_rewrite_2023_2024,Rimowa,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\data\geo_rewrites\rimowa.txt,True,1647
