comparison,product,version_status_for_product,n_question_contexts,n_source_files,citation_rate,mean_ref_count,total_ref_count,mean_first_citation_score,mean_recommendation_rank_proxy,mean_rank_score_proxy,top1_cited_share,mean_feature_count,mean_feature_coverage,mean_tfidf_product_answer_similarity,mean_bigram_overlap_product_answer,mean_pais_product_answer_influence_score
02_2023_2024_original_vs_2023_2024_geo_rewrite,BEIS,geo_rewrite_2023_2024,5,1,0.6,0.6,3,0.4,3.4,0.52,0.2,1.8,0.12,0.0,0.0,0.154
02_2023_2024_original_vs_2023_2024_geo_rewrite,BEIS,original_2023_2024,20,4,0.55,0.65,13,0.3088095238095238,3.95,0.41,0.2,0.55,0.03666666666666667,0.009054947123877593,0.0099055330634278,0.12655872414619446
02_2023_2024_original_vs_2023_2024_geo_rewrite,Delsey,geo_rewrite_2023_2024,5,1,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_2023_2024_original_vs_2023_2024_geo_rewrite,Delsey,original_2023_2024,20,4,0.95,1.1,22,0.4766666666666667,2.35,0.73,0.2,2.9,0.19333333333333333,0.05268495866281321,0.058018732182525276,0.24490646822660808
02_2023_2024_original_vs_2023_2024_geo_rewrite,INUSA,geo_rewrite_2023_2024,5,1,0.2,0.2,1,0.05,5.6,0.08,0.0,0.0,0.0,0.004817324822768245,0.0,0.027630131631220318
02_2023_2024_original_vs_2023_2024_geo_rewrite,INUSA,original_2023_2024,20,4,0.9,0.95,19,0.20636904761904762,4.2,0.36,0.0,0.3,0.02,0.038918952601959995,0.004257246376811593,0.13286285366738992
02_2023_2024_original_vs_2023_2024_geo_rewrite,Monos,geo_rewrite_2023_2024,5,1,1.0,1.2,6,0.22333333333333333,3.4,0.52,0.0,2.4,0.16,0.027749484852574426,0.012452107279693486,0.18408437972913558
02_2023_2024_original_vs_2023_2024_geo_rewrite,Monos,original_2023_2024,20,4,0.75,0.8,16,0.2708333333333333,3.45,0.51,0.05,2.15,0.14333333333333334,0.029797019361170313,0.013608207510646536,0.15750063499883105
02_2023_2024_original_vs_2023_2024_geo_rewrite,Travelpro,geo_rewrite_2023_2024,5,1,1.0,1.4,7,0.7666666666666666,1.6,0.8800000000000001,0.6,3.6,0.24,0.047638145480522955,0.08196402435454599,0.33982223274928647
02_2023_2024_original_vs_2023_2024_geo_rewrite,Travelpro,original_2023_2024,20,4,0.95,1.5,30,0.725,1.8,0.8400000000000001,0.6,2.75,0.18333333333333335,0.0632585703814851,0.12783914795694334,0.3384942529365052
