run_type,source_file,focal_geo_product,question_ids,n_questions,prompt_set_label,shifted_any
baseline_all_current_2026,baseline_curr/baseline_11_curr.txt,,"11,12,13,14,15",5,11-15,False
baseline_all_current_2026,baseline_curr/baseline_16_curr.txt,,"16,17,18,19,20",5,16-20,False
baseline_all_current_2026,baseline_curr/baseline_1_curr.txt,,"1,2,3,4,5",5,1-5,False
baseline_all_current_2026,baseline_curr/baseline_6_curr.txt,,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,BEIS,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,BEIS,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_16.txt,BEIS,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_6.txt,BEIS,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/delsey_1.txt,Delsey,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/delsey_11.txt,Delsey,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/delsey_16.txt,Delsey,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/delsey_6.txt,Delsey,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/inusa_1.txt,INUSA,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/inusa_11.txt,INUSA,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/inusa_16.txt,INUSA,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/inusa_6.txt,INUSA,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/monos_1.txt,Monos,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/monos_11.txt,Monos,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/monos_16.txt,Monos,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/monos_6.txt,Monos,"6,7,8,9,10",5,6-10,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/travel_1.txt,Travelpro,"1,2,3,4,5",5,1-5,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/travel_11.txt,Travelpro,"11,12,13,14,15",5,11-15,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/travel_16.txt,Travelpro,"16,17,18,19,20",5,16-20,False
one_product_geo_rewrite_against_current,03_2026_current_vs_2023_2024_geo_rewrite/travel_6.txt,Travelpro,"6,7,8,9,10",5,6-10,False
